jaar_maand;meldingen
2015-01-01;67
2015-02-01;74
2015-03-01;101
2015-04-01;93
2015-05-01;62
2015-06-01;104
2015-07-01;113
2015-08-01;60
2015-09-01;59
2015-10-01;88
2015-11-01;62
2015-12-01;63
2016-01-01;77
2016-02-01;68
2016-03-01;75
2016-04-01;85
2016-05-01;99
2016-06-01;103
2016-07-01;113
2016-08-01;73
2016-09-01;107
2016-10-01;76
2016-11-01;102
2016-12-01;77
2017-01-01;70
2017-02-01;87
2017-03-01;112
2017-04-01;93
2017-05-01;140
2017-06-01;236
2017-07-01;169
2017-08-01;172
2017-09-01;148
2017-10-01;116
2017-11-01;127
2017-12-01;99
2018-01-01;123
2018-02-01;108
2018-03-01;159
2018-04-01;202
2018-05-01;183
2018-06-01;127
2018-07-01;191
2018-08-01;221
2018-09-01;172
2018-10-01;171
2018-11-01;169
2018-12-01;183
2019-01-01;175
2019-02-01;104
2019-03-01;126
2019-04-01;114
2019-05-01;101
2019-06-01;203
2019-07-01;239
2019-08-01;174
2019-09-01;109
2019-10-01;158
2019-11-01;154
2019-12-01;116
2020-01-01;135
2020-02-01;106
2020-03-01;94
2020-04-01;101
2020-05-01;68
2020-06-01;84
2020-07-01;145
2020-08-01;109
2020-09-01;89
2020-10-01;94
2020-11-01;104
2020-12-01;112
2021-01-01;108
2021-02-01;145
2021-03-01;124
2021-04-01;119
2021-05-01;136
2021-06-01;187
2021-07-01;134
2021-08-01;84
2021-09-01;90
2021-10-01;88
2021-11-01;83
2021-12-01;93
2022-01-01;76
2022-02-01;76
2022-03-01;129
2022-04-01;94
2022-05-01;126
2022-06-01;142
2022-07-01;292
2022-08-01;208
2022-09-01;205
2022-10-01;190
2022-11-01;125
2022-12-01;175
2023-01-01;131
2023-02-01;135
2023-03-01;165
2023-04-01;181
2023-05-01;243
2023-06-01;207
2023-07-01;172
2023-08-01;131
2023-09-01;144
2023-10-01;109
2023-11-01;86
2023-12-01;66
2024-01-01;117
2024-02-01;117
2024-03-01;174
2024-04-01;138
2024-05-01;126
2024-06-01;174
2024-07-01;184
2024-08-01;235
2024-09-01;176
2024-10-01;185
2024-11-01;134
2024-12-01;101
