maand;maand_naam;opkomst_gemiddeld;ondergang_gemiddeld;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
1;Jan;08:39;17:00;15;18;7;12;14;7;11;23;25;22;34;36;38;21;19;24;23;20;12;14;14;7;16;12
2;Feb;07:55;17:53;12;2;10;11;10;3;7;16;22;32;38;28;40;28;19;31;24;31;22;13;9;5;10;11
3;Mar;06:59;18:54;9;17;10;5;10;4;9;35;35;33;40;40;41;33;35;33;24;24;26;12;15;12;9;7
4;Apr;06:43;20:39;10;11;6;13;4;9;16;28;24;29;31;29;29;24;19;32;40;21;22;23;18;14;9;11
5;May;05:46;21:29;9;12;18;6;11;8;20;29;23;28;42;32;34;27;37;38;39;29;37;18;16;14;9;14
6;Jun;05:21;22:00;16;11;12;11;12;16;22;34;33;36;45;26;42;29;35;38;28;30;30;26;38;13;16;20
7;Jul;05:40;21:50;24;18;12;17;14;14;19;32;46;38;40;27;46;31;31;47;39;46;32;39;22;26;14;15
8;Aug;06:26;21:01;7;17;14;21;9;2;15;24;20;28;33;44;43;23;32;36;32;28;31;22;28;16;11;16
9;Sep;07:16;19:53;12;5;13;7;9;5;13;32;27;44;35;33;32;35;28;31;24;31;21;22;18;7;14;19
10;Oct;08:00;18:37;10;11;6;15;17;10;10;24;29;32;33;26;38;25;24;21;23;15;14;21;22;16;9;22
11;Nov;08:00;16:49;14;15;8;7;11;8;9;13;12;18;26;30;32;34;19;15;26;12;10;16;10;6;4;10
12;Dec;08:41;16:31;15;11;11;6;12;4;11;16;25;33;26;23;25;21;20;33;20;14;10;17;12;10;13;13
