datum;opkomst;ondergang;opkomst_minutes;ondergang_minutes;daglicht_uren;jaar;maand;maand_naam
2015-01-01;08:48:00;16:39:00;528;999;7,85000000000000;2015;1;Jan
2015-01-02;08:48:00;16:40:00;528;1000;7,86666666666667;2015;1;Jan
2015-01-03;08:48:00;16:41:00;528;1001;7,88333333333333;2015;1;Jan
2015-01-04;08:48:00;16:42:00;528;1002;7,90000000000000;2015;1;Jan
2015-01-05;08:47:00;16:44:00;527;1004;7,95000000000000;2015;1;Jan
2015-01-06;08:47:00;16:45:00;527;1005;7,96666666666667;2015;1;Jan
2015-01-07;08:47:00;16:46:00;527;1006;7,98333333333333;2015;1;Jan
2015-01-08;08:46:00;16:47:00;526;1007;8,01666666666667;2015;1;Jan
2015-01-09;08:46:00;16:49:00;526;1009;8,05000000000000;2015;1;Jan
2015-01-10;08:45:00;16:50:00;525;1010;8,08333333333333;2015;1;Jan
2015-01-11;08:44:00;16:52:00;524;1012;8,13333333333333;2015;1;Jan
2015-01-12;08:44:00;16:53:00;524;1013;8,15000000000000;2015;1;Jan
2015-01-13;08:43:00;16:55:00;523;1015;8,20000000000000;2015;1;Jan
2015-01-14;08:42:00;16:56:00;522;1016;8,23333333333333;2015;1;Jan
2015-01-15;08:41:00;16:58:00;521;1018;8,28333333333333;2015;1;Jan
2015-01-16;08:41:00;16:59:00;521;1019;8,30000000000000;2015;1;Jan
2015-01-17;08:40:00;17:01:00;520;1021;8,35000000000000;2015;1;Jan
2015-01-18;08:39:00;17:02:00;519;1022;8,38333333333333;2015;1;Jan
2015-01-19;08:38:00;17:04:00;518;1024;8,43333333333333;2015;1;Jan
2015-01-20;08:37:00;17:06:00;517;1026;8,48333333333333;2015;1;Jan
2015-01-21;08:35:00;17:08:00;515;1028;8,55000000000000;2015;1;Jan
2015-01-22;08:34:00;17:09:00;514;1029;8,58333333333333;2015;1;Jan
2015-01-23;08:33:00;17:11:00;513;1031;8,63333333333333;2015;1;Jan
2015-01-24;08:32:00;17:13:00;512;1033;8,68333333333333;2015;1;Jan
2015-01-25;08:31:00;17:14:00;511;1034;8,71666666666667;2015;1;Jan
2015-01-26;08:29:00;17:16:00;509;1036;8,78333333333333;2015;1;Jan
2015-01-27;08:28:00;17:18:00;508;1038;8,83333333333333;2015;1;Jan
2015-01-28;08:26:00;17:20:00;506;1040;8,90000000000000;2015;1;Jan
2015-01-29;08:25:00;17:22:00;505;1042;8,95000000000000;2015;1;Jan
2015-01-30;08:24:00;17:23:00;504;1043;8,98333333333333;2015;1;Jan
2015-01-31;08:22:00;17:25:00;502;1045;9,05000000000000;2015;1;Jan
2015-02-01;08:20:00;17:27:00;500;1047;9,11666666666667;2015;2;Feb
2015-02-02;08:19:00;17:29:00;499;1049;9,16666666666667;2015;2;Feb
2015-02-03;08:17:00;17:31:00;497;1051;9,23333333333333;2015;2;Feb
2015-02-04;08:16:00;17:33:00;496;1053;9,28333333333333;2015;2;Feb
2015-02-05;08:14:00;17:35:00;494;1055;9,35000000000000;2015;2;Feb
2015-02-06;08:12:00;17:36:00;492;1056;9,40000000000000;2015;2;Feb
2015-02-07;08:11:00;17:38:00;491;1058;9,45000000000000;2015;2;Feb
2015-02-08;08:09:00;17:40:00;489;1060;9,51666666666667;2015;2;Feb
2015-02-09;08:07:00;17:42:00;487;1062;9,58333333333333;2015;2;Feb
2015-02-10;08:05:00;17:44:00;485;1064;9,65000000000000;2015;2;Feb
2015-02-11;08:03:00;17:46:00;483;1066;9,71666666666667;2015;2;Feb
2015-02-12;08:01:00;17:48:00;481;1068;9,78333333333333;2015;2;Feb
2015-02-13;08:00:00;17:50:00;480;1070;9,83333333333333;2015;2;Feb
2015-02-14;07:58:00;17:51:00;478;1071;9,88333333333333;2015;2;Feb
2015-02-15;07:56:00;17:53:00;476;1073;9,95000000000000;2015;2;Feb
2015-02-16;07:54:00;17:55:00;474;1075;10,01666666666670;2015;2;Feb
2015-02-17;07:52:00;17:57:00;472;1077;10,08333333333330;2015;2;Feb
2015-02-18;07:50:00;17:59:00;470;1079;10,15000000000000;2015;2;Feb
2015-02-19;07:48:00;18:01:00;468;1081;10,21666666666670;2015;2;Feb
2015-02-20;07:46:00;18:03:00;466;1083;10,28333333333330;2015;2;Feb
2015-02-21;07:44:00;18:04:00;464;1084;10,33333333333330;2015;2;Feb
2015-02-22;07:42:00;18:06:00;462;1086;10,40000000000000;2015;2;Feb
2015-02-23;07:40:00;18:08:00;460;1088;10,46666666666670;2015;2;Feb
2015-02-24;07:37:00;18:10:00;457;1090;10,55000000000000;2015;2;Feb
2015-02-25;07:35:00;18:12:00;455;1092;10,61666666666670;2015;2;Feb
2015-02-26;07:33:00;18:14:00;453;1094;10,68333333333330;2015;2;Feb
2015-02-27;07:31:00;18:15:00;451;1095;10,73333333333330;2015;2;Feb
2015-02-28;07:29:00;18:17:00;449;1097;10,80000000000000;2015;2;Feb
2015-03-01;07:27:00;18:19:00;447;1099;10,86666666666670;2015;3;Mar
2015-03-02;07:24:00;18:21:00;444;1101;10,95000000000000;2015;3;Mar
2015-03-03;07:22:00;18:23:00;442;1103;11,01666666666670;2015;3;Mar
2015-03-04;07:20:00;18:24:00;440;1104;11,06666666666670;2015;3;Mar
2015-03-05;07:18:00;18:26:00;438;1106;11,13333333333330;2015;3;Mar
2015-03-06;07:16:00;18:28:00;436;1108;11,20000000000000;2015;3;Mar
2015-03-07;07:13:00;18:30:00;433;1110;11,28333333333330;2015;3;Mar
2015-03-08;07:11:00;18:31:00;431;1111;11,33333333333330;2015;3;Mar
